Date,ACA.PA,AI.PA,AIR.PA,ALO.PA,BN.PA,BNP.PA,CA.PA,CAP.PA,CS.PA,DG.PA,DSY.PA,EDEN.PA,EL.PA,EN.PA,ENGI.PA,ERF.PA,GLE.PA,HO.PA,KER.PA,LR.PA,MC.PA,ML.PA,MT.AS,OR.PA,ORA.PA,PUB.PA,RI.PA,RMS.PA,RNO.PA,SAF.PA,SAN.PA,SGO.PA,STLAP.PA,STMPA.PA,SU.PA,TEP.PA,TTE.PA,URW.PA,VIE.PA,WLN.PA
2000-01-03,,1094181.0,,,3382058.0,3712665.0,757948.0,492603.0,12220955.0,235369.0,1546980.0,,835856.0,6778400.0,2602000.0,310000.0,1078214.0,601985.0,185169.0,,615855.0,1553113.0,,1188070.0,1551490.0,,132600.0,16395.0,377649.0,516675.0,710248.0,1163036.0,,,961380.0,334079.0,4044084.0,,,
2000-01-04,,1671548.0,,,6230117.0,6404755.0,1799994.0,357912.0,25162210.0,159096.0,2441040.0,,782348.0,11345400.0,2560000.0,2187000.0,2529529.0,435639.0,349132.0,,1691700.0,1469283.0,,1908790.0,1988788.0,,161341.0,33063.0,447410.0,1036500.0,1102290.0,1239792.0,,,908412.0,512119.0,6565240.0,,,
2000-01-05,,1033053.0,,,5252492.0,4837347.0,2222860.0,784213.0,20716144.0,535013.0,2428580.0,,651132.0,8405000.0,3970500.0,2236000.0,1233422.0,429936.0,444817.0,,1563735.0,1611521.0,,1399870.0,2593952.0,,219282.0,55344.0,534377.0,1354725.0,1457955.0,1275800.0,,,960046.0,403416.0,8296864.0,,,
2000-01-06,,1678435.0,,,9245939.0,6594478.0,2263606.0,468768.0,10870492.0,215557.0,2379390.0,,477282.0,10554700.0,3477000.0,580000.0,1221423.0,178098.0,591143.0,,1641215.0,1852327.0,,980000.0,2847297.0,,192227.0,97941.0,1300230.0,630975.0,1054723.0,735768.0,,,1052494.0,320457.0,9581504.0,,,
2000-01-07,,2659862.0,,,8866494.0,5929662.0,1487008.0,550392.0,15711483.0,373859.0,2063800.0,,393034.0,18317600.0,3451500.0,485000.0,866415.0,506662.0,460670.0,,1360530.0,5016097.0,,1082640.0,1593258.0,,261733.0,131712.0,930494.0,2045100.0,1688898.0,933268.0,,,2573564.0,980853.0,16985068.0,,,
2000-01-10,,1533078.0,,,4255250.0,5758423.0,1868924.0,492569.0,12212155.0,384928.0,2635510.0,,710895.0,16548800.0,3171500.0,1747000.0,920539.0,201905.0,444643.0,,2381515.0,1536989.0,,815070.0,1358041.0,,246188.0,61107.0,571625.0,1073250.0,1211443.0,502636.0,,,901639.0,699626.0,7909764.0,,,
2000-01-11,,1469442.0,,,4087655.0,9474585.0,3643944.0,831122.0,16136659.0,454394.0,2634870.0,,889242.0,10018000.0,3466000.0,1746000.0,1566694.0,205261.0,348666.0,,1157955.0,1247235.0,,878750.0,1470620.0,,190342.0,48825.0,1473217.0,6332550.0,1287027.0,1041704.0,,,882649.0,844973.0,7725848.0,,,
2000-01-12,,1789278.0,,,6201155.0,6548510.0,2638862.0,591544.0,17079363.0,1123148.0,1917220.0,,539006.0,8730400.0,3630500.0,1268000.0,1272104.0,186958.0,344945.0,,1444595.0,1466555.0,,1360740.0,1403622.0,,220065.0,96495.0,1178553.0,1094850.0,1127918.0,1083796.0,,,938577.0,656104.0,7020096.0,,,
2000-01-13,,1378540.0,,,6131991.0,6213669.0,1661306.0,326272.0,16132009.0,172695.0,2752980.0,,519140.0,19653900.0,2971500.0,1074000.0,2081087.0,519684.0,206116.0,,1356875.0,2021444.0,,1045500.0,1628771.0,,185176.0,62985.0,1279884.0,2156700.0,1108747.0,1244956.0,,,1156216.0,379577.0,5814680.0,,,
2000-01-14,,1129035.0,,,4837083.0,4935014.0,1558178.0,264852.0,17266551.0,176516.0,4122260.0,,304167.0,11704000.0,3895000.0,2388000.0,1473212.0,1503820.0,183147.0,,1059010.0,2175000.0,,1097620.0,1651143.0,,295600.0,125832.0,460719.0,2206800.0,1986827.0,1127264.0,,,551308.0,353355.0,6777968.0,,,
